Part ID,Package,Layer,Rotation,X,Y
J7,CONN-SIL2,TOP,0,-39.37,-21.59
U492,SOIC127P600X175-8N,TOP,0,-38.1,17.78
C3,CAPC1005X55N,TOP,90,-43.18,17.78
J8,CONN-SIL3,TOP,-90,19.05,69.85
U7,PMODLVLSHFT-04,TOP,0,-22.86,69.85
U8,PMODLVLSHFT-04,TOP,0,-5.08,69.85
U9,PMODLVLSHFT-04,TOP,0,-22.86,50.8
U10,PMODLVLSHFT-04,TOP,0,-5.08,50.8
U11,PMODLVLSHFT-04,TOP,0,-22.86,31.75
U12,PMODLVLSHFT-04,TOP,0,-5.08,31.75
J1,SHDR44W89P485X254_2X22_6248X928X1549P,TOP,0,-2.54,-20.205
J2,CONN-DIL40,BOT,90,-38.1,52.07
J3,CONN-DIL50,TOP,0,-6.35,2.54
POWER 5V,163179PHEX,TOP,180,33.4099,69.6699
D5,LED,TOP,0,41.91,55.88
R5,RES40,TOP,0,30.48,55.88
D1,LED,TOP,0,40.64,-22.86
D2,LED,TOP,0,40.64,-11.43
D3,LED,TOP,0,40.64,1.27
D4,LED,TOP,0,40.64,13.97
R1,RES40,TOP,0,36.83,-27.94
R2,RES40,TOP,0,36.83,-15.24
R3,RES40,TOP,0,36.83,-3.81
R4,RES40,TOP,0,36.83,8.89
C1,CAPPRD350W65D800H1650 POS/NEG,TOP,0,10.64,73.66
C2,CAPPRD350W65D800H1650 POS/NEG,TOP,0,10.64,62.23
U2,SOIC127P780X200-20N-CAP,TOP,270,11.6415,19.3
U3,SOIC127P780X200-20N-CAP,TOP,270,11.6415,29.4599
U5,SOIC127P780X200-20N-CAP,TOP,0,8.63999,42.1216
U1,SOIC127P1030X265-20N-CAP,TOP,0,19.96,42.134
U4,SOIC127P780X200-20N-CAP,TOP,180,25.6499,26.4584
U6,SOIC127P600X175-14N-CAP,TOP,0,30.6649,41.372
