Part ID,Package,Layer,Rotation,X,Y
J7,CONN-SIL2,TOP,0,-38.1,11.43
U492,SOIC127P600X175-8N,TOP,0,-38.1,-33.02
C3,CAPC1005X55N,TOP,90,-43.18,-33.48
J8,CONN-SIL3,TOP,-90,-41.91,-22.86
J1,SHDR44W89P485X254_2X22_6248X928X1549P,TOP,0,-1.27,12.815
J2,CONN-DIL40,BOT,90,-36.83,-67.31
J3,CONN-DIL50,TOP,0,10.16,-81.28
D5,LED,TOP,90,58.42,102.87
R5,RES40,TOP,90,58.42,91.44
D1,LED,TOP,0,59.69,-72.39
D2,LED,TOP,0,59.69,-62.23
D3,LED,TOP,0,59.69,-50.8
R1,RES40,TOP,0,55.88,-77.47
R2,RES40,TOP,0,55.88,-66.04
R3,RES40,TOP,0,55.88,-55.88
C1,CAPPRD350W65D800H1650 POS/NEG,TOP,0,48.7401,99.06
C2,CAPPRD350W65D800H1650 POS/NEG,TOP,0,48.7401,87.63
U13,TL59AF160Q,TOP,0,58.3801,-87.63
Q1,SOT23,TOP,0,37.145,-61.9125
Q2,SOT23,TOP,0,32.065,-61.9125
Q3,SOT23,TOP,0,26.985,-61.9125
Q4,SOT23,TOP,0,21.905,-61.9125
Q5,SOT23,TOP,0,16.825,-61.9125
Q6,SOT23,TOP,0,11.745,-61.9125
Q7,SOT23,TOP,0,6.66501,-61.9125
Q8,SOT23,TOP,0,1.585,-61.9125
Q9,SOT23,TOP,0,-3.49499,-61.9125
Q10,SOT23,TOP,0,-8.57499,-61.9125
Q11,SOT23,TOP,0,-13.655,-61.9125
Q12,SOT23,TOP,0,-18.735,-61.9125
Q13,SOT23,TOP,0,37.145,-50.4825
Q14,SOT23,TOP,0,32.065,-50.4825
Q15,SOT23,TOP,0,26.924,-50.4825
Q16,SOT23,TOP,0,21.844,-50.4825
Q17,SOT23,TOP,0,16.764,-50.4825
Q18,SOT23,TOP,0,11.684,-50.4825
Q19,SOT23,TOP,0,6.604,-50.4825
Q20,SOT23,TOP,0,1.524,-50.4825
Q21,SOT23,TOP,0,-3.556,-50.4825
Q22,SOT23,TOP,0,-8.636,-50.4825
Q23,SOT23,TOP,0,-13.716,-50.4825
Q24,SOT23,TOP,0,-18.796,-50.4825
