Part ID,Package,Layer,Rotation,X,Y
J7,CONN-SIL2,TOP,0,-40.64,10.16
U492,SOIC127P600X175-8N,TOP,0,-38.1,-33.02
C3,CAPC1005X55N,TOP,90,-43.18,-33.48
J8,CONN-SIL3,TOP,-90,-41.91,-22.86
J1,SHDR44W89P485X254_2X22_6248X928X1549P,TOP,0,-1.27,12.815
J2,CONN-DIL40,BOT,90,-36.83,-67.31
J3,CONN-DIL50,TOP,0,10.16,-81.28
D5,LED,TOP,90,67.31,105.41
R5,RES60,TOP,90,67.31,91.44
D1,LED,TOP,0,67.03,-73.35
D2,LED,TOP,0,67.03,-59.38
D3,LED,TOP,0,67.03,-45.41
R1,RES60,TOP,0,61.95,-79.7
R2,RES60,TOP,0,61.95,-65.73
R3,RES60,TOP,0,61.95,-51.76
C1,CAPPRD350W65D800H1650 POS/NEG,TOP,0,57.63,101.6
C2,CAPPRD350W65D800H1650 POS/NEG,TOP,0,57.63,90.17
U13,TL59AF160Q,TOP,0,66.99,-89.86
Q1,SOT23,TOP,0,37.145,-61.9125
Q2,SOT23,TOP,0,32.065,-61.9125
Q3,SOT23,TOP,0,26.985,-61.9125
Q4,SOT23,TOP,0,21.905,-61.9125
Q5,SOT23,TOP,0,16.825,-61.9125
Q6,SOT23,TOP,0,11.745,-61.9125
Q7,SOT23,TOP,0,6.665,-61.9125
Q8,SOT23,TOP,0,1.585,-61.9125
Q9,SOT23,TOP,0,-3.495,-61.9125
Q10,SOT23,TOP,0,-8.575,-61.9125
Q11,SOT23,TOP,0,-13.655,-61.9125
Q12,SOT23,TOP,0,-18.735,-61.9125
Q13,SOT23,TOP,0,37.145,-50.4825
Q14,SOT23,TOP,0,32.065,-50.4825
Q15,SOT23,TOP,0,26.924,-50.4825
Q16,SOT23,TOP,0,21.844,-50.4825
Q17,SOT23,TOP,0,16.764,-50.4825
Q18,SOT23,TOP,0,11.684,-50.4825
Q19,SOT23,TOP,0,6.604,-50.4825
Q20,SOT23,TOP,0,1.524,-50.4825
Q21,SOT23,TOP,0,-3.556,-50.4825
Q22,SOT23,TOP,0,-8.636,-50.4825
Q23,SOT23,TOP,0,-13.716,-50.4825
Q24,SOT23,TOP,0,-18.796,-50.4825
R6,RESC2012X60N,TOP,0,37.145,-58.42
R7,RESC2012X60N,TOP,0,37.145,-66.04
R8,RESC2012X60N,TOP,0,32.065,-58.42
R9,RESC2012X60N,TOP,0,32.065,-66.04
R10,RESC2012X60N,TOP,0,26.985,-58.42
R11,RESC2012X60N,TOP,0,26.985,-66.04
R12,RESC2012X60N,TOP,0,21.905,-58.42
R13,RESC2012X60N,TOP,0,21.905,-66.04
R14,RESC2012X60N,TOP,0,16.825,-58.42
R15,RESC2012X60N,TOP,0,16.825,-66.04
R16,RESC2012X60N,TOP,0,11.745,-58.42
R17,RESC2012X60N,TOP,0,11.745,-66.04
R18,RESC2012X60N,TOP,0,6.665,-58.42
R19,RESC2012X60N,TOP,0,6.665,-66.04
R20,RESC2012X60N,TOP,0,1.585,-58.42
R21,RESC2012X60N,TOP,0,1.585,-66.04
R22,RESC2012X60N,TOP,0,-3.495,-58.42
R23,RESC2012X60N,TOP,0,-3.495,-66.04
R24,RESC2012X60N,TOP,0,-8.575,-58.42
R25,RESC2012X60N,TOP,0,-8.575,-66.04
R26,RESC2012X60N,TOP,0,-13.655,-58.42
R27,RESC2012X60N,TOP,0,-13.655,-66.04
R28,RESC2012X60N,TOP,0,-18.735,-58.42
R29,RESC2012X60N,TOP,0,-18.735,-66.04
R30,RESC2012X60N,TOP,0,37.145,-46.99
R31,RESC2012X60N,TOP,0,37.145,-54.61
R32,RESC2012X60N,TOP,0,32.065,-46.99
R33,RESC2012X60N,TOP,0,32.065,-54.61
R34,RESC2012X60N,TOP,0,26.924,-46.99
R35,RESC2012X60N,TOP,0,26.924,-54.61
R36,RESC2012X60N,TOP,0,21.844,-46.99
R37,RESC2012X60N,TOP,0,21.844,-54.61
R38,RESC2012X60N,TOP,0,16.764,-46.99
R39,RESC2012X60N,TOP,0,16.764,-54.61
R40,RESC2012X60N,TOP,0,11.684,-46.99
R41,RESC2012X60N,TOP,0,11.684,-54.61
R42,RESC2012X60N,TOP,0,6.604,-46.99
R43,RESC2012X60N,TOP,0,6.604,-54.61
R44,RESC2012X60N,TOP,0,1.524,-46.99
R45,RESC2012X60N,TOP,0,1.524,-54.61
R46,RESC2012X60N,TOP,0,-3.556,-46.99
R47,RESC2012X60N,TOP,0,-3.556,-54.61
R48,RESC2012X60N,TOP,0,-8.636,-46.99
R49,RESC2012X60N,TOP,0,-8.636,-54.61
R50,RESC2012X60N,TOP,0,-13.716,-46.99
R51,RESC2012X60N,TOP,0,-13.396,-54.61
R52,RESC2012X60N,TOP,0,-18.796,-46.99
R53,RESC2012X60N,TOP,0,-18.796,-54.61
J4,CONN-SIL2,TOP,0,-40.64,31.75
J5,SHDR44W89P485X254_2X22_6248X928X1549P,TOP,0,-1.27,34.405
