Part ID,Package,Layer,Rotation,X,Y
J7,CONN-SIL2,TOP,0,-41.91,-1.27
U492,SOIC127P600X175-8N,TOP,0,-57.15,30.48
C3,CAPC1005X55N,TOP,90,-62.23,30.02
J8,CONN-SIL3,TOP,-90,-60.96,40.64
J1,SHDR44W89P485X254_2X22_6248X928X1549P,TOP,0,-5.08,0.115
J2,CONN-DIL40,BOT,90,-55.88,-3.81
J3,CONN-DIL50,TOP,0,-8.89,-17.78
D5,LED,TOP,90,40.64,46.99
R5,RES40,TOP,90,40.64,35.56
D1,LED,TOP,0,40.64,-8.89
D2,LED,TOP,0,40.64,1.27
D3,LED,TOP,0,40.64,12.7
D4,LED,TOP,0,40.64,24.13
R1,RES40,TOP,0,36.83,-13.97
R2,RES40,TOP,0,36.83,-2.54
R3,RES40,TOP,0,36.83,7.62
R4,RES40,TOP,0,36.83,19.05
C1,CAPPRD350W65D800H1650 POS/NEG,TOP,0,30.9601,43.18
C2,CAPPRD350W65D800H1650 POS/NEG,TOP,0,30.9601,31.75
U13,TL59AF160Q,TOP,0,39.3301,-24.13
Q1,SOT23,TOP,0,21.905,16.8275
Q2,SOT23,TOP,0,16.825,16.8275
Q3,SOT23,TOP,0,11.745,16.8275
Q4,SOT23,TOP,0,6.66501,16.8275
Q5,SOT23,TOP,0,1.585,16.8275
Q6,SOT23,TOP,0,-3.49499,16.8275
Q7,SOT23,TOP,0,-8.57499,16.8275
Q8,SOT23,TOP,0,-13.655,16.8275
Q9,SOT23,TOP,0,-18.735,16.8275
Q10,SOT23,TOP,0,-23.815,16.8275
Q11,SOT23,TOP,0,-28.895,16.8275
Q12,SOT23,TOP,0,-33.975,16.8275
Q13,SOT23,TOP,0,21.905,28.2575
Q14,SOT23,TOP,0,16.825,28.2575
Q15,SOT23,TOP,0,11.684,28.2575
Q16,SOT23,TOP,0,6.604,28.2575
Q17,SOT23,TOP,0,1.524,28.2575
Q18,SOT23,TOP,0,-3.556,28.2575
Q19,SOT23,TOP,0,-8.636,28.2575
Q20,SOT23,TOP,0,-13.716,28.2575
Q21,SOT23,TOP,0,-18.796,28.2575
Q22,SOT23,TOP,0,-23.876,28.2575
Q23,SOT23,TOP,0,-28.956,28.2575
Q24,SOT23,TOP,0,-34.036,28.2575
R6,RESC2012X60N,TOP,0,21.905,20.32
R7,RESC2012X60N,TOP,0,21.905,12.7
R8,RESC2012X60N,TOP,0,16.825,20.32
R9,RESC2012X60N,TOP,0,16.825,12.7
R10,RESC2012X60N,TOP,0,11.745,20.32
R11,RESC2012X60N,TOP,0,11.745,12.7
R12,RESC2012X60N,TOP,0,6.66501,20.32
R13,RESC2012X60N,TOP,0,6.66501,12.7
R14,RESC2012X60N,TOP,0,1.585,20.32
R15,RESC2012X60N,TOP,0,1.585,12.7
R16,RESC2012X60N,TOP,0,-3.49499,20.32
R17,RESC2012X60N,TOP,0,-3.49499,12.7
R18,RESC2012X60N,TOP,0,-8.57499,20.32
R19,RESC2012X60N,TOP,0,-8.57499,12.7
R20,RESC2012X60N,TOP,0,-13.655,20.32
R21,RESC2012X60N,TOP,0,-13.655,12.7
R22,RESC2012X60N,TOP,0,-18.735,20.32
R23,RESC2012X60N,TOP,0,-18.735,12.7
R24,RESC2012X60N,TOP,0,-23.815,20.32
R25,RESC2012X60N,TOP,0,-23.815,12.7
R26,RESC2012X60N,TOP,0,-28.895,20.32
R27,RESC2012X60N,TOP,0,-28.895,12.7
R28,RESC2012X60N,TOP,0,-33.975,20.32
R29,RESC2012X60N,TOP,0,-33.975,12.7
R30,RESC2012X60N,TOP,0,21.905,31.75
R31,RESC2012X60N,TOP,0,21.905,24.13
R32,RESC2012X60N,TOP,0,16.825,31.75
R33,RESC2012X60N,TOP,0,16.825,24.13
R34,RESC2012X60N,TOP,0,11.684,31.75
R35,RESC2012X60N,TOP,0,11.684,24.13
R36,RESC2012X60N,TOP,0,6.604,31.75
R37,RESC2012X60N,TOP,0,6.604,24.13
R38,RESC2012X60N,TOP,0,1.524,31.75
R39,RESC2012X60N,TOP,0,1.524,24.13
R40,RESC2012X60N,TOP,0,-3.556,31.75
R41,RESC2012X60N,TOP,0,-3.556,24.13
R42,RESC2012X60N,TOP,0,-8.636,31.75
R43,RESC2012X60N,TOP,0,-8.636,24.13
R44,RESC2012X60N,TOP,0,-13.716,31.75
R45,RESC2012X60N,TOP,0,-13.716,24.13
R46,RESC2012X60N,TOP,0,-18.796,31.75
R47,RESC2012X60N,TOP,0,-18.796,24.13
R48,RESC2012X60N,TOP,0,-23.876,31.75
R49,RESC2012X60N,TOP,0,-23.876,24.13
R50,RESC2012X60N,TOP,0,-28.956,31.75
R51,RESC2012X60N,TOP,0,-28.636,24.13
R52,RESC2012X60N,TOP,0,-34.036,31.75
R53,RESC2012X60N,TOP,0,-34.036,24.13
U2,SOIC127P780X200-20N-CAP,TOP,180,9.14001,42.9684
U3,SOIC127P780X200-20N-CAP,TOP,180,-1.02,42.9684
U5,SOIC127P780X200-20N-CAP,TOP,270,-15.0285,39.6199
U1,SOIC127P1030X265-20N-CAP,TOP,180,-28.8501,42.956
U4,SOIC127P780X200-20N-CAP,TOP,180,-41.6601,30.2684
U6,SOIC127P600X175-14N-CAP,TOP,270,-43.718,17.595
