Part ID,Package,Layer,Rotation,X,Y
J7,CONN-SIL2,TOP,0,-45.72,-1.27
U492,SOIC127P600X175-8N,TOP,0,-57.15,30.48
C3,CAPC1005X55N,TOP,90,-62.23,30.02
J8,CONN-SIL3,TOP,-90,-60.96,40.64
J1,SHDR44W89P485X254_2X22_6248X928X1549P,TOP,0,-8.89,0.115
J2,CONN-DIL40,BOT,90,-55.88,-3.81
J3,CONN-DIL50,TOP,0,-12.7,-17.78
D5,LED,TOP,90,38.1,48.26
R5,RES60,TOP,90,43.18,40.64
D1,LED,TOP,0,36.83,-11.43
D2,LED,TOP,0,36.83,0
D3,LED,TOP,0,36.83,11.43
R1,RES60,TOP,0,35.56,-16.51
R2,RES60,TOP,0,35.56,-5.08
R3,RES60,TOP,0,35.56,6.35
C1,CAPPRD350W65D800H1650 POS/NEG,TOP,0,29.6901,45.72
C2,CAPPRD350W65D800H1650 POS/NEG,TOP,0,29.6901,34.29
U13,TL59AF160Q,TOP,0,35.5201,-24.13
Q2,SOT23,TOP,0,10.48,16.8275
Q3,SOT23,TOP,0,5.39999,16.8275
Q4,SOT23,TOP,0,0.319999,16.8275
Q5,SOT23,TOP,0,-4.76001,16.8275
Q9,SOT23,TOP,0,-9.84001,16.8275
Q10,SOT23,TOP,0,-14.92,16.8275
Q11,SOT23,TOP,0,-20,16.8275
Q12,SOT23,TOP,0,-25.08,16.8275
Q15,SOT23,TOP,0,-40.325,16.8275
Q16,SOT23,TOP,0,-45.405,16.8275
Q17,SOT23,TOP,0,10.414,28.2575
Q18,SOT23,TOP,0,5.334,28.2575
Q19,SOT23,TOP,0,0.254,28.2575
Q20,SOT23,TOP,0,-4.826,28.2575
Q21,SOT23,TOP,0,-9.906,28.2575
Q22,SOT23,TOP,0,-14.986,28.2575
Q23,SOT23,TOP,0,-20.066,28.2575
Q24,SOT23,TOP,0,-25.146,28.2575
Q25,SOT23,TOP,0,-30.226,28.2575
Q26,SOT23,TOP,0,-35.306,28.2575
R4,RESC2012X60N,TOP,0,10.48,20.32
R8,RESC2012X60N,TOP,0,10.48,12.7
R9,RESC2012X60N,TOP,0,5.39999,20.32
R10,RESC2012X60N,TOP,0,5.39999,12.7
R11,RESC2012X60N,TOP,0,0.319999,20.32
R12,RESC2012X60N,TOP,0,0.319999,12.7
R13,RESC2012X60N,TOP,0,-4.76001,20.32
R14,RESC2012X60N,TOP,0,-4.76001,12.7
R15,RESC2012X60N,TOP,0,-9.84001,20.32
R22,RESC2012X60N,TOP,0,-9.84001,12.7
R23,RESC2012X60N,TOP,0,-14.92,20.32
R24,RESC2012X60N,TOP,0,-14.92,12.7
R25,RESC2012X60N,TOP,0,-20,20.32
R26,RESC2012X60N,TOP,0,-20,12.7
R27,RESC2012X60N,TOP,0,-25.08,20.32
R28,RESC2012X60N,TOP,0,-25.08,12.7
R29,RESC2012X60N,TOP,0,-40.325,20.32
R30,RESC2012X60N,TOP,0,-40.325,12.7
R31,RESC2012X60N,TOP,0,-45.405,20.32
R32,RESC2012X60N,TOP,0,-45.405,12.7
R33,RESC2012X60N,TOP,0,10.414,31.75
R34,RESC2012X60N,TOP,0,10.414,24.13
R35,RESC2012X60N,TOP,0,5.334,31.75
R36,RESC2012X60N,TOP,0,5.334,24.13
R37,RESC2012X60N,TOP,0,0.254,31.75
R38,RESC2012X60N,TOP,0,0.254,24.13
R39,RESC2012X60N,TOP,0,-4.826,31.75
R40,RESC2012X60N,TOP,0,-4.826,24.13
R41,RESC2012X60N,TOP,0,-9.906,31.75
R42,RESC2012X60N,TOP,0,-9.906,24.13
R43,RESC2012X60N,TOP,0,-14.986,31.75
R44,RESC2012X60N,TOP,0,-14.986,24.13
R45,RESC2012X60N,TOP,0,-20.066,31.75
R46,RESC2012X60N,TOP,0,-20.066,24.13
R47,RESC2012X60N,TOP,0,-25.146,31.75
R48,RESC2012X60N,TOP,0,-25.146,24.13
R49,RESC2012X60N,TOP,0,-30.226,31.75
R50,RESC2012X60N,TOP,0,-30.16,24.13
R51,RESC2012X60N,TOP,0,-35.306,31.75
R52,RESC2012X60N,TOP,0,-35.306,24.13
R54,G6L1PDC5,TOP,0,38.1,21.59
Q13,SOT23,TOP,0,-30.16,16.8275
Q14,SOT23,TOP,0,-35.24,16.8275
Q27,SOT23,TOP,0,-40.386,28.2575
Q28,SOT23,TOP,0,-45.466,28.2575
R58,RESC2012X60N,TOP,0,-30.16,20.32
R59,RESC2012X60N,TOP,0,-30.16,12.7
R60,RESC2012X60N,TOP,0,-35.24,20.32
R61,RESC2012X60N,TOP,0,-35.24,12.7
R53,RESC2012X60N,TOP,0,-40.386,31.75
R55,RESC2012X60N,TOP,0,-40.32,24.13
R56,RESC2012X60N,TOP,0,-45.466,31.75
R57,RESC2012X60N,TOP,0,-45.466,24.13
U7,SOIC127P1030X265-20N,TOP,0,21.59,20.32
U2,SOIC127P780X200-20N-CAP,TOP,180,-1.02,42.9684
U3,SOIC127P780X200-20N-CAP,TOP,180,-11.18,42.9684
U5,SOIC127P780X200-20N-CAP,TOP,270,11.6415,39.6199
U1,SOIC127P1030X265-20N-CAP,TOP,180,-22.5,42.956
U4,SOIC127P780X200-20N-CAP,TOP,270,-36.6184,39.6199
U6,SOIC127P600X175-14N-CAP,TOP,270,-51.338,44.2651
