Part ID,Package,Layer,Rotation,X,Y
U1,SOP50P2000X120-48N,TOP,90,-15.24,40.005
C1,CAPC1005X55N,TOP,0,-15.7,51.435
J1,CONN-DIL44,TOP,0,0,-8.73001
U2,SOIC127P780X200-20N-CAP,TOP,0,19.435,6.56151
U3,SOIC127P780X200-20N-CAP,TOP,0,9.27499,6.56151
U4,SOIC127P600X175-16N-CAP,TOP,0,-22.69,5.812
U5,SOIC127P600X175-16N-CAP,TOP,0,-11.895,5.812
U6,SOP50P2000X120-48N,TOP,90,17.145,40.005
U7,SOP50P2000X120-48N,TOP,90,17.145,63.5
U8,SOP50P2000X120-48N,TOP,90,-15.24,63.5
C2,CAPC1005X55N,TOP,0,16.51,51.435
C3,CAPC1005X55N,TOP,0,17.145,74.93
C4,CAPC1005X55N,TOP,0,-15.875,74.93
U9,SOIC127P600X175-16N-CAP,TOP,0,-22.69,18.512
